id,lat,lon,risco
452,-15.7994749914704,-47.8824251890182,4
826,-15.8372658167636,-48.0549663305282,1
1239,-16.0215018,-48.0677101,5
1273,-15.7886711544235,-47.8843188285827,2
2863,-15.7907566031066,-47.883106470108,4
2881,-15.8307858,-47.8738575,3
2892,-15.8208771,-48.1120223,5
2895,-15.8636973,-48.0799819,1
2902,-16.0316947,-48.0584781,1
2911,-15.8179294,-48.1032243,5
3085,-15.7871948089645,-47.9405272006988,5
3380,-15.8070026,-47.9333915,5
3413,-15.7867436,-47.8890379,3
3475,-15.7838554,-47.8776003,1
3476,-15.8101915,-47.8891137,5
3598,-15.7971186,-47.8940831,5
3601,-15.7751152,-47.9178357,1
3603,-15.765089,-47.8702366,4
3606,-15.7990491,-47.860769,1
4275,-15.8689970105594,-47.9664373397827,1
4418,-15.8961517,-47.7759733,5
4595,-15.8114157,-47.8679521,5
4598,-15.7733116,-47.9298238,4
4733,-15.8420576,-48.0241632,5
4885,-15.7874374,-47.9091266,1
5123,-15.8070026,-47.9333915,2
5977,-15.799294330037,-47.864019870758,3
8608,-15.8038513,-47.863196,1
8612,-15.8101534,-47.8715256,5
8615,-15.7956837,-47.8696153,5
