id,lat,lon,risco
452,-15.7994749914704,-47.8824251890182,2
1606,-15.7994749914704,-47.8824251890182,3
1887,-15.8474946,-48.0425725,2
2500,-15.6756794,-48.1957464,2
2895,-15.8636973,-48.0799819,5
2901,-15.8689970105594,-47.9664373397827,5
2902,-16.0316947,-48.0584781,2
3085,-15.7871948089645,-47.9405272006988,5
3264,-15.6189864701587,-47.6535201072692,2
3413,-15.7867436,-47.8890379,5
4267,-15.7994749914704,-47.8824251890182,1
4592,-15.8335066,-47.955316,2
4594,-15.8287603,-47.9285092,4
4595,-15.8114157,-47.8679521,5
5123,-15.8070026,-47.9333915,3
5191,-15.8055583,-47.8975411,4
7006,-15.7994749914704,-47.8824251890182,5
7615,-15.8179294,-48.1032243,3
8612,-15.8101534,-47.8715256,1
9986,-15.7994749914704,-47.8824251890182,3
